policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses
P0,0,1073741824,100,300,0,1.32,757.424,857.519,1111.703,1209.285,0.9290,10.47,105216,899476
P2,16777216,1073741824,100,300,0,1.32,754.894,825.470,1088.116,1215.103,0.9290,10.54,107001,908135
