policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses
P0,0,1073741824,100,200,0,3.40,293.804,46.909,681.381,765.800,0.8970,4.62,32570,672810
P1,16777216,1073741824,100,200,0,24.30,40.870,39.589,48.301,67.101,0.8970,5.70,64774,1072534
P0,0,1073741824,100,300,0,6.51,153.245,66.415,314.292,354.374,0.9290,4.97,49471,946651
P1,16777216,1073741824,100,300,0,16.47,60.371,62.504,76.588,87.310,0.9290,6.38,91748,1346209
