policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses
P0,0,1073741824,100,300,0,1.33,750.862,830.956,1091.980,1182.607,0.9290,10.47,105216,899476
P1,16777216,1073741824,100,300,0,1.11,899.458,949.780,1256.501,1484.629,0.9290,37.44,593143,991263
