policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses
P0,0,1073741824,100,300,0,1.43,697.706,774.728,991.802,1070.261,0.9290,10.47,105216,899476
P1,16777216,1073741824,100,300,0,1.23,811.104,862.557,1093.976,1376.379,0.9290,37.44,593143,991263
P2,16777216,1073741824,100,300,0,1.44,694.488,756.389,974.205,1092.364,0.9290,10.54,106999,908135
