policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses
P0,0,1073741824,100,300,0,1.41,710.579,771.443,996.192,1067.118,0.9290,10.47,105216,899476
P1,16777216,1073741824,100,300,0,1.11,900.897,958.389,1258.246,1555.609,0.9290,37.44,593143,991263
P2,16777216,1073741824,100,300,0,0.89,1122.193,1148.886,1548.524,1728.415,0.9370,33.55,596684,1182011
