tag,policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses
packed_baseline,P3,67108864,1073741824,100,300,0,1.96,509.352,524.724,618.991,670.389,0.9290,22.41,43903,151982
pagealign_AB,P3,67108864,1073741824,100,300,0,1.54,648.345,688.547,816.260,886.966,0.9290,17.08,31105,151043
