# E1 placement TRUE-COLD. Reload vmem_sw before each row.
# P3 budget=64MiB pipe-w=4 install-top=4 L=300 nq=100 seed=42 oneshot-fp flush-window
# kernel=7.0.0-30-generic dax=absent.
# graph-in-dram copies ~1.2GiB adjacency into host at start (fills some device cache).
row,policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses,precision_pct,promote_pages,promote_used,hotset_pins,graph_in_dram,hotset_bytes,early_stop_patience
graph_on_ssd,P3,67108864,1073741824,100,300,0,5.79,171.845,157.994,188.267,295.422,0.9140,3.84,6333,158678,100.0,608620,608620,0,0,0,0
graph_in_dram,P3,67108864,1073741824,100,300,0,11.53,86.380,83.582,99.699,152.504,0.9140,3.90,5199,128051,100.0,608620,608620,0,1,0,0
