# VOID — device cache warm across rows. Use e7_ablation_cold.csv.
row,policy,budget,dram,nq,beam,iters,qps,mean_ms,p50,p90,p99,recall,hit_pct,dram_hits,ssd_misses,precision_pct,promote_pages,promote_used,hotset_pins,graph_in_dram,hotset_bytes,early_stop_patience
full,P3,67108864,1073741824,100,300,0,6.88,144.695,163.773,186.023,262.655,0.9240,3.77,6271,160145,100.0,613354,613354,0,0,0,0
no_promote,P0,0,1073741824,100,300,0,20.88,47.278,45.293,67.448,114.596,0.9240,1.07,7049,652594,100.0,613383,613383,0,0,0,0
no_async,P3,67108864,1073741824,100,300,0,29.46,33.567,32.577,42.190,70.232,0.9240,3.77,6271,160145,100.0,613354,613354,0,0,0,0
install_all,P3,67108864,1073741824,100,300,0,19.48,50.636,46.775,70.186,126.173,0.9240,1.07,7047,652594,100.0,613354,613354,0,0,0,0
